Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,8.14787181605234
35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,16.486200590489563
38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,17.824948136047144
27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,35.90421307256172
20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,24.726183681062327
37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,15.563980355875108
22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,22.914551982083466
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,14.473460111718754
38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,31.136136932686078
,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,4.826255472249843
34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,22.565311303015232
35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,15.048409014246454
29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20.61153254113871
20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,5.456574313934663
26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,16.299710939171717
37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,35.31667978903295
30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,23.331445022378936
37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,33.69506095380172
23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,13.741780329953865
22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,28.667380708151697
38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,14.957591699539874
29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,2.6076324079759132
20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,28.936261771634033
30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,13.73892065417482
24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,33.88833748077072
28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,21.978722764454243
39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,19.813917054109016
29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20.680016401948834
33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,22.570234948509807
35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,24.446215922834362
28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,29.86201560132564
30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,36.797238211469384
,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,23.330417504001474
35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,26.821271062172464
25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,31.136136932686078
,,,,3,Meal,scooter,0.0,No,Metropolitian,37,22.569253915337004
26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,15.276283008859638
37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,27.999860773729246
32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,10.368993825930904
37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,10.869771078277845
32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,33.08710870970354
20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,5.037265024990162
28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,18.381743483284765
37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,13.153060068317135
30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20.063426737332744
34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,21.978138501493
20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,10.523199553233907
22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,12.537631149243213
39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,9.970243626379077
26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,23.4552234256049
31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,24.435463922103366
35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,12.976683750700074
22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,9.96851699200303
38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,9.249312765320953
22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,21.60789758180911
24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,7.1849616323006895
30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,21.363368213473457
36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,16.80638292502266
38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,35.71247863935324
34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,27.574411049719604
24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,11.558407427649245
21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,22.908344708993596
33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,24.727307910762377
30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,11.048676260099468
22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,10.048905984352748
20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,10.040730180735924
25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,23.35599244301585
25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,14.152800689506924
34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,30.219274260985152
21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,19.813917054109016
21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,12.541109891966764
22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20.78492304392022
24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,2.5466055564847077
28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,24.724105191426027
27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,33.759756598598884
23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,21.61184638428475
22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,21.820517739708706
36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,7.893041382622161
35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,13.638311524261939
27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,8.145944322153424
37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,12.959074443769225
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,15.110236531171257
33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,21.716708952540625
30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,12.462507534303969
22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,19.08916795465158
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,16.365488944047005
30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,2.546584650761929
36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,7.48743597788443
33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,12.536667600439506
30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,15.109901827010756
22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,35.295758739902574
34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,18.167356380609693
31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,2.5082418315858206
35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,17.58829207615476
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,22.644473839635083
,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,10.87113324221043
32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,19.232503857195802
33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,12.592779793310557
24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,35.898175380955344
20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,10.424142480062384
35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,16.365239741877854
28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,2.669828040427976
26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,35.30694769997836
23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,6.935535559539329
31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20.855330021356117
29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,29.860974136183184
,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,2.631053323944614
39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,13.576958042285177
21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,5.4359029506677095
26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,2.830560695427386
29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,2.592211910621994
34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,26.406811689882662
30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,12.537877419505325
34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,13.586792538530508
33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,16.79865368401572
23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20.673534256815365
